Transaction_ID,Date,Outlet,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Customer_Type
T100000,12/04/2024,south point,Snacks,Brownie,1,176.89,176.89,Regular
T100001,21/02/2024,central,Snacks,Brownie,3,244.71,734.13,New
T100002,02/04/2024,North Hub,Pastry,Danish,1,183.27,183.27,New
T100003,15/01/2024,central,Sandwich,Cheese Sandwich,2,162.22,324.44,New
T100004,16/04/2024,north hub,Tea,Black Tea,3,86.71,260.13,New
T100005,12/03/2024,SOUTH POINT,Pastry,Muffin,2,81.06,162.12,Regular
T100006,01/03/2024,Central,Snacks,Bagel,2,141.35,282.7,Regular
T100007,21/01/2024,north hub,Pastry,Muffin,3,189.73,569.19,New
T100008,12/04/2024,SOUTH POINT,Sandwich,Cheese Sandwich,1,309.84,309.84,Regular
T100009,23/03/2024,Central,Tea,Masala Tea,2,295.59,591.18,New
T100010,27/03/2024,SOUTH POINT,Sandwich,Cheese Sandwich,2,152.13,304.26,New
T100011,15/03/2024,south point,Coffee,Americano,3,146.03,438.09,New
T100012,15/03/2024,North Hub,Tea,Black Tea,3,141.38,424.14,New
T100013,28/03/2024,north hub,Sandwich,Veg Sandwich,3,171.59,514.77,Regular
T100014,26/04/2024,north hub,Snacks,Bagel,3,214.51,643.53,Regular
T100015,09/04/2024,NORTH HUB,Tea,Black Tea,3,198.44,595.32,New
T100016,13/04/2024,South Point,Tea,Green Tea,4,138.93,555.72,New
T100017,24/01/2024,south point,Pastry,Muffin,3,115.22,345.66,Regular
T100018,03/01/2024,south point,Snacks,Brownie,1,83.4,83.4,Regular
T100019,22/01/2024,central,Coffee,Espresso,2,121.57,243.14,Regular
T100020,22/02/2024,SOUTH POINT,Sandwich,Chicken Sandwich,1,270.45,270.45,New
T100021,02/01/2024,South Point,Pastry,Danish,1,145.78,145.78,Regular
T100022,28/03/2024,North Hub,Sandwich,Chicken Sandwich,4,206.52,826.08,New
T100023,17/04/2024,North Hub,Coffee,Cappuccino,3,239.65,718.95,New
T100024,30/01/2024,south point,Coffee,Cappuccino,2,319.45,638.9,Regular
T100025,07/02/2024,North Hub,Tea,Masala Tea,1,319.99,319.99,New
T100026,02/01/2024,NORTH HUB,Coffee,Espresso,3,281.35,844.05,Regular
T100027,04/03/2024,north hub,Sandwich,Chicken Sandwich,3,89.49,268.47,New
T100028,29/02/2024,CENTRAL,Snacks,Bagel,4,235.27,941.08,New
T100029,21/01/2024,central,Snacks,Cookie,4,292.38,1169.52,New
T100030,02/02/2024,SOUTH POINT,Tea,Masala Tea,4,84.67,338.68,New
T100031,16/03/2024,SOUTH POINT,Sandwich,Cheese Sandwich,2,228.41,456.82,New
T100032,27/02/2024,Central,Sandwich,Veg Sandwich,1,311.6,311.6,New
T100033,22/01/2024,CENTRAL,Coffee,Latte,4,208.01,832.04,Regular
T100034,17/04/2024,south point,Sandwich,Cheese Sandwich,4,81.11,324.44,Regular
T100035,29/03/2024,NORTH HUB,Pastry,Danish,4,82.97,331.88,New
T100036,18/02/2024,north hub,Coffee,Latte,1,192.49,192.49,Regular
T100037,31/03/2024,north hub,Pastry,Croissant,1,121.85,121.85,New
T100038,28/02/2024,NORTH HUB,Tea,Masala Tea,4,259.4,1037.6,Regular
T100039,11/02/2024,South Point,Snacks,Brownie,4,271.38,1085.52,Regular
T100040,01/04/2024,Central,Tea,Green Tea,3,128.03,384.09,New
T100041,29/02/2024,SOUTH POINT,Snacks,Brownie,4,319.9,1279.6,Regular
T100042,20/03/2024,CENTRAL,Tea,Green Tea,2,199.32,398.64,New
T100043,15/01/2024,North Hub,Sandwich,Chicken Sandwich,2,118.57,237.14,Regular
T100044,02/03/2024,Central,Pastry,Danish,4,286.35,1145.4,New
T100045,02/03/2024,CENTRAL,Snacks,Bagel,1,293.29,293.29,Regular
T100046,16/02/2024,central,Coffee,Americano,3,252.61,757.83,New
T100047,02/03/2024,central,Pastry,Danish,1,310.44,310.44,Regular
T100048,20/02/2024,Central,Coffee,Cappuccino,4,279.09,1116.36,New
T100049,17/04/2024,south point,Pastry,Danish,2,318.2,636.4,Regular
T100050,24/02/2024,CENTRAL,Pastry,Danish,3,197.15,591.45,New
T100051,25/04/2024,CENTRAL,Tea,Masala Tea,1,281.85,281.85,Regular
T100052,04/03/2024,NORTH HUB,Snacks,Brownie,1,349.93,349.93,New
T100053,03/01/2024,south point,Snacks,Bagel,4,275.73,1102.92,Regular
T100054,10/04/2024,SOUTH POINT,Pastry,Muffin,3,110.83,332.49,New
T100055,20/02/2024,SOUTH POINT,Sandwich,Cheese Sandwich,2,219.95,439.9,New
T100056,07/01/2024,North Hub,Sandwich,Cheese Sandwich,4,238.58,954.32,New
T100057,21/01/2024,north hub,Coffee,Espresso,3,127.04,381.12,New
T100058,13/03/2024,central,Coffee,Espresso,1,339.98,339.98,Regular
T100059,08/02/2024,SOUTH POINT,Tea,Green Tea,4,127.41,509.64,Regular
T100060,18/01/2024,south point,Pastry,Danish,1,127.94,127.94,Regular
T100061,04/01/2024,CENTRAL,Coffee,Cappuccino,1,327.1,327.1,New
T100062,29/03/2024,SOUTH POINT,Coffee,Cappuccino,4,205.61,822.44,New
T100063,29/02/2024,CENTRAL,Pastry,Croissant,4,97.06,388.24,New
T100064,14/01/2024,SOUTH POINT,Tea,Masala Tea,4,241.51,966.04,New
T100065,23/04/2024,central,Coffee,Americano,4,242.49,969.96,New
T100066,09/01/2024,SOUTH POINT,Tea,Black Tea,4,97.42,389.68,Regular
T100067,30/03/2024,south point,Snacks,Bagel,1,342.58,342.58,Regular
T100068,22/02/2024,SOUTH POINT,Tea,Black Tea,2,226.89,453.78,Regular
T100069,02/01/2024,north hub,Sandwich,Chicken Sandwich,2,231.14,462.28,New
T100070,24/03/2024,central,Sandwich,Cheese Sandwich,4,220.43,881.72,New
T100071,01/04/2024,south point,Tea,Masala Tea,1,244.9,244.9,New
T100072,20/04/2024,NORTH HUB,Sandwich,Cheese Sandwich,2,151.36,302.72,New
T100073,29/02/2024,south point,Snacks,Cookie,2,157.56,315.12,New
T100074,11/03/2024,north hub,Pastry,Danish,2,218.06,436.12,New
T100075,13/02/2024,central,Sandwich,Veg Sandwich,1,297.81,297.81,New
T100076,08/01/2024,NORTH HUB,Sandwich,Veg Sandwich,4,93.46,373.84,Regular
T100077,16/02/2024,north hub,Tea,Green Tea,4,242.92,971.68,Regular
T100078,04/02/2024,north hub,Snacks,Brownie,4,297.83,1191.32,New
T100079,18/03/2024,Central,Pastry,Danish,3,122.37,367.11,New
T100080,21/03/2024,central,Tea,Green Tea,3,84.06,252.18,New
T100081,05/02/2024,south point,Tea,Masala Tea,3,164.43,493.29,Regular
T100082,19/02/2024,CENTRAL,Snacks,Brownie,1,238.8,238.8,Regular
T100083,13/04/2024,CENTRAL,Pastry,Croissant,2,117.34,234.68,New
T100084,04/01/2024,south point,Snacks,Brownie,2,195.05,390.1,Regular
T100085,02/01/2024,south point,Pastry,Danish,1,229.13,229.13,Regular
T100086,06/01/2024,central,Snacks,Brownie,1,241.7,241.7,Regular
T100087,23/02/2024,south point,Tea,Masala Tea,4,154.09,616.36,New
T100088,15/04/2024,Central,Tea,Green Tea,4,188.01,752.04,Regular
T100089,04/01/2024,NORTH HUB,Coffee,Americano,3,290.15,870.45,Regular
T100090,23/02/2024,south point,Sandwich,Veg Sandwich,3,334.13,1002.39,New
T100091,02/04/2024,CENTRAL,Snacks,Brownie,1,312.71,312.71,New
T100092,03/03/2024,south point,Coffee,Latte,3,232.36,697.08,Regular
T100093,18/01/2024,Central,Sandwich,Veg Sandwich,2,190.78,381.56,New
T100094,30/03/2024,SOUTH POINT,Snacks,Cookie,1,169.9,169.9,Regular
T100095,13/02/2024,SOUTH POINT,Pastry,Muffin,1,113.74,113.74,Regular
T100096,03/02/2024,north hub,Sandwich,Veg Sandwich,2,108.77,217.54,New
T100097,14/03/2024,North Hub,Tea,Masala Tea,4,265.86,1063.44,New
T100098,02/03/2024,NORTH HUB,Coffee,Cappuccino,4,150.14,600.56,Regular
T100099,09/04/2024,South Point,Sandwich,Veg Sandwich,2,148.76,297.52,New
T100100,14/01/2024,north hub,Sandwich,Veg Sandwich,2,349.51,699.02,New
T100101,04/04/2024,SOUTH POINT,Tea,Masala Tea,3,130.74,392.22,Regular
